,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
399,no_information,no_information,no_information,Speyside,23.4,42.30%,Scotland,50 Year Old,The Glenlivet,Single Malt,no_information
400,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt,no_information,no_information,no_information
401,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
402,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
403,"The first-ever Caol Ila 35 year old in this series is also the oldest Caol Ila Special Release to date, combining whisky from refill American oak hogsheads and refill American and European oak butts in a wellbalanced and mature expression that shows a fine freshness, cleanliness and precision for its age. Just 3,276 bottles. Established in 1846, Caol Ila is hidden away in a tiny bay near Port Askaig on the Sound of Islay (in Gaelic, Caol Ila). A nearby water supply was one reason for the remote site; a waterfall even supplied power for the barley hoists and pressure for the fire hydrants. Until the early 1960s casks left Caol Ila and supplies arrived by sea. Rebuilt as a new distillery and significantly extended to six stills in 1972, Caol Ila became the largest distillery on Islay yet its single malts remained almost unknown until 2002, when an award-winning range was introduced. This is in many ways a connoisseur’s Islay malt; despite being less well known than their southern siblings, its whiskies are every bit as capable of fine complexity, balanced and distinctive in fresh aromas and taste, with great character and depth at any age.",Single Malt Scotch Whisky,700,Islay,32,58.1,Scotland,35 Year Old,Caol Ila,cork,Single Malt
404,no_information,no_information,no_information,22,56.3%,Australia,New South Wales,Otter Craft Distilling,Cork,Single Malt,Whisky Liqueurs
405,"Made at Linkwood distillery, this Speyside single malt was matured for a quarter of a century in refill sherry casks, before being bottled by Gordon & MacPhail for its Distillery Labels series.",700mL,Speyside,24,43%,Scotland,25 Year Old,Linkwood,Cork,Single Malt,no_information
406,This masterpiece is one of the lesser known greats of Macallan's and is now very hard to find. Its rich citrus lemon with peaty smoke is forward with a floral character almost like perfume. It has hints of elegant spices mixed in with hardwood.,Scotch Whisky,700mL,Speyside,26,46.7%,Scotland,52 Year Old,The Macallan,Cork,Single Malt
407,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
408,no_information,no_information,700mL,Speyside,24,43%,Scotland,40 Year Old,Gordon & MacPhail,Stopper,Single Malt
409,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
410,"Rich and full-bodied with hints of citrus fruit and toffee. This is one patient customer – biding its time for 14 years in American white oak, followed by another two in ex-Amoroso Oloroso sherry casks. The result is an unbelievably full-bodied finish and countless flavours to enjoy.
Colour: Rich amber gold
Nose: Silky vanilla and honey with hints of ginger
Taste: A full-bodied malt where flavours of creamy dark chocolate and orange peel develop into cinnamon spice and hints of smooth soft honey.",Whisky,700mL,22.1,40%,Scotland,Jura,Single Malt,no_information,no_information,no_information
411,"Second fill American oak, ex-bourbon casks, followed by a period of further maturation in first fill Spanish oak, ex-Oloroso casks. Intense and warming. Welcoming chocolate and creamy vanilla, with rich honey sweetness tempered by vibrant spices. A whisper of flowery fruitiness yields to crisp bursts of citrus and apple. Chocolatey indulgence layered with honeyed spices and Christmas cake. Floral note lend a dash of finesse, while zesty hints of citrus and green apple enliven a lovely long finish.",700mL,25.4,46%,Scotland,18 Year Old,Old Pulteney,Stopper,Single Malt,no_information,no_information
412,"The Tullibardine 25 has been matured for a minimum of 25 years in ex-sherry hogsheads. It is beautifully aged, with wonderful hues of red, orange and brown.
Amazingly, no oaky notes appear at all for a whisky of this age. Instead, you’ll discover subtle vanilla, toffee and orange chocolate. This whisky has an incredible viscous quality that fills the mouth with baked banana, orange peel and a long, creamy, silky finish",Single Malt,700mL,23.7,43.0%,Scotland,25 Year Old,Tullibardine,Cork,Single Malt,Whisky Liqueurs
413,no_information,no_information,700mL,Islay,25.4,46.00%,Scotland,Kilchoman,Cork,Single Malt,no_information
414,no_information,no_information,700mL,Highland,25,46%,Scotland,AnCnoc,Stopper,Single Malt,no_information
415,"The Macallan 1824 Series focuses on single malts that are of exemplary colour and flavour with a range of casks and liquid ages (no age statement) used to deliver the desired colour and exceptional Macallan character. The 'Sienna', exclusively matured in sherry oaks casks, brings subtle notes of vanilla, zest and fresh green apples. The palate opens up with dates, figs and raisins which then defer to nutmeg and ginger before the vanilla returns, tying it all together. The final fanfare is a gentle, smooth and warming finish.",Scotch Whisky,700mL,Highland,23.7,43.00%,Scotland,The Macallan,Cork,Single Malt,no_information
416,"The last remaining stocks of the Balblair vintage, before relaunching under age statement whiskies in 2019. Balblair was long known to blenders as a category 'A' malt -due to it's superior quality and taste. Aged predominately in ex-bourbon barrels, this whisky has aromas of citrus, lime, fresh honeycomb with a long finish full of ripe peaches and apricots back with lemon curd.",Scotch Whisky,700mL,Highland,23.7,43%,Scotland,Balblair,Cork,Single Malt,no_information
417,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
418,no_information,no_information,no_information,no_information,22,40.00%,Scotland,Glen Moray,Cork,Single Malt,no_information
419," Pale gold. Attractive citrus and fruit cake like sniffs with sprinklings of sweet spice - cinnamon and clove in particular - then rich vanilla enters. The squeaky clean, semi sweet profile is breakfast bar like (fruit, cereal and honey) with a slather of creamy peat and warm spices finishing fresh and with outstanding length. Nutty, oily, peaty aftertaste. If you've never tried this elusive malt - here is the perfect opportunity.",700mL,23.8,43%,Scotland,Gordon & MacPhail,Screw Cap,Single Malt,no_information,no_information,no_information
420,,Scotch Whisky,700mL,38 Years,27 Approx.,48.6%,Scotland,38 Year Old,Brora,Single Malt,Single Malt Scotch Whisky
421,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
